Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,9899.400390625,9993.599609375,9850.5,9888.2998046875,9888.2900390625,135778000
2011-01-04,9895.5,9974.2001953125,9799.400390625,9888.400390625,9888.390625,194824000
2011-01-05,9877.5,9882.400390625,9599.2998046875,9801.400390625,9801.390625,241101000
2011-01-06,9803.2001953125,9832.599609375,9678.400390625,9702.7001953125,9702.6904296875,179999000
2011-01-07,9682.400390625,9699.400390625,9497.7998046875,9560.7001953125,9560.6904296875,268083000
2011-01-10,9488.2998046875,9491.7998046875,9387.900390625,9437.7998046875,9437.7900390625,271713000
2011-01-11,9467.400390625,9593.0,9404.7001953125,9582.099609375,9582.08984375,270518000
2011-01-12,9606.400390625,10106.2001953125,9596.0,10101.2001953125,10101.1904296875,415429000
2011-01-13,10105.7998046875,10410.2001953125,10096.7998046875,10370.7998046875,10370.7890625,484937000
2011-01-14,10337.7998046875,10423.0,10249.5,10385.099609375,10385.0888671875,292458000
2011-01-17,10328.2998046875,10354.900390625,10245.5,10280.0,10279.9892578125,207148000
2011-01-18,10314.2001953125,10591.900390625,10304.599609375,10583.400390625,10583.3896484375,320746000
2011-01-19,10596.7001953125,10618.0,10493.2998046875,10556.5,10556.4892578125,294236000
2011-01-20,10542.599609375,10683.0,10515.5,10636.900390625,10636.8896484375,365740000
2011-01-21,10663.400390625,10937.599609375,10660.5,10829.099609375,10829.0888671875,441528000
2011-01-24,10852.2001953125,10925.5,10690.2998046875,10815.400390625,10815.3896484375,235973000
2011-01-25,10840.7998046875,10855.400390625,10626.7001953125,10664.400390625,10664.3896484375,294500000
2011-01-26,10715.0,10812.2998046875,10668.7001953125,10670.7001953125,10670.689453125,229377000
2011-01-27,10644.2001953125,10899.2998046875,10579.900390625,10828.7001953125,10828.689453125,297157000
2011-01-28,10822.0,10961.099609375,10713.400390625,10747.0,10746.9892578125,341939000
2011-01-31,10738.2001953125,10918.599609375,10603.400390625,10806.0,10805.9892578125,266180000
2011-02-01,10886.2001953125,10987.099609375,10777.099609375,10967.900390625,10967.8896484375,283883000
2011-02-02,11004.2001953125,11044.2998046875,10917.400390625,11010.2001953125,11010.189453125,246889000
2011-02-03,10979.599609375,11019.099609375,10756.599609375,10860.7001953125,10860.689453125,362088000
2011-02-04,10875.2998046875,10906.2998046875,10770.400390625,10854.7001953125,10854.689453125,228777000
2011-02-07,10854.2998046875,10985.0,10782.2998046875,10922.599609375,10922.5888671875,279793000
2011-02-08,10921.599609375,10992.099609375,10869.400390625,10965.099609375,10965.0888671875,196967000
2011-02-09,10950.599609375,11053.900390625,10910.7001953125,10935.599609375,10935.5888671875,202681000
2011-02-10,10877.7998046875,10885.2998046875,10685.7001953125,10791.900390625,10791.8896484375,276284000
2011-02-11,10771.7001953125,10875.599609375,10656.400390625,10803.599609375,10803.5888671875,177823000
2011-02-14,10847.599609375,10894.2001953125,10733.7998046875,10774.7001953125,10774.689453125,187491000
2011-02-15,10753.2998046875,10899.599609375,10719.2001953125,10826.2001953125,10826.189453125,180920000
2011-02-16,10852.0,11092.099609375,10851.0,11047.7998046875,11047.7890625,323647000
2011-02-17,11056.2001953125,11149.0,10999.0,11113.0,11112.98828125,245438000
2011-02-18,11137.599609375,11165.0,10961.0,11068.099609375,11068.0888671875,325457000
