Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,6973.39013671875,7026.6201171875,6969.830078125,6989.740234375,6989.740234375,61893200
2011-01-04,6979.68017578125,7025.85986328125,6952.02001953125,6975.35009765625,6975.35009765625,87665600
2011-01-05,6966.080078125,6967.240234375,6842.89990234375,6939.81982421875,6939.81982421875,117141900
2011-01-06,6949.47998046875,7047.58984375,6949.06982421875,6981.39013671875,6981.39013671875,91236400
2011-01-07,6991.5498046875,7010.89013671875,6939.8798828125,6947.83984375,6947.83984375,92626900
2011-01-10,6920.35986328125,6941.39013671875,6835.740234375,6857.06005859375,6857.06005859375,93167900
2011-01-11,6879.39013671875,6951.18994140625,6860.52001953125,6941.56982421875,6941.56982421875,115258100
2011-01-12,6958.83984375,7070.39990234375,6958.5,7068.77978515625,7068.77978515625,122555700
2011-01-13,7075.5400390625,7084.06982421875,7036.08984375,7075.10986328125,7075.10986328125,160361400
2011-01-14,7055.419921875,7083.02001953125,7015.35009765625,7075.7001953125,7075.7001953125,125089000
2011-01-17,7072.75,7087.43017578125,7055.830078125,7078.06005859375,7078.06005859375,79250900
2011-01-18,7100.47998046875,7156.25,7099.1201171875,7143.4501953125,7143.4501953125,121727300
2011-01-19,7163.3701171875,7165.0,7077.22998046875,7082.759765625,7082.759765625,110001900
2011-01-20,7074.89013671875,7084.240234375,7008.6201171875,7024.27001953125,7024.27001953125,154426700
2011-01-21,7047.7001953125,7122.89013671875,7023.68994140625,7062.419921875,7062.419921875,173919200
2011-01-24,7080.77978515625,7089.6201171875,7000.41015625,7067.77001953125,7067.77001953125,121571600
2011-01-25,7096.83984375,7102.080078125,7043.64013671875,7059.009765625,7059.009765625,122874800
2011-01-26,7092.89013671875,7160.85986328125,7087.25,7127.35009765625,7127.35009765625,109512300
2011-01-27,7120.64013671875,7180.14990234375,7114.35009765625,7155.580078125,7155.580078125,113476500
2011-01-28,7155.47021484375,7177.22998046875,7102.7998046875,7102.7998046875,7102.7998046875,96018200
2011-01-31,7094.56005859375,7107.3701171875,7033.08984375,7077.47998046875,7077.47998046875,93018500
2011-02-01,7133.33984375,7190.75,7105.31005859375,7184.27001953125,7184.27001953125,117369400
2011-02-02,7202.6201171875,7222.1298828125,7160.35986328125,7183.669921875,7183.669921875,114242400
2011-02-03,7175.75,7198.97998046875,7144.080078125,7193.68017578125,7193.68017578125,105091300
2011-02-04,7216.66015625,7226.64013671875,7186.240234375,7216.2099609375,7216.2099609375,94076900
2011-02-07,7222.0498046875,7287.66015625,7214.0498046875,7283.6201171875,7283.6201171875,93205600
2011-02-08,7274.169921875,7325.02978515625,7272.7998046875,7323.240234375,7323.240234375,98883400
2011-02-09,7319.1201171875,7350.77978515625,7310.43994140625,7320.89990234375,7320.89990234375,81819000
2011-02-10,7322.6201171875,7340.8701171875,7269.52978515625,7340.27978515625,7340.27978515625,105376400
2011-02-11,7320.06982421875,7390.47998046875,7283.8701171875,7371.2001953125,7371.2001953125,96097500
2011-02-14,7403.830078125,7424.35986328125,7378.41015625,7396.6298828125,7396.6298828125,69641000
